Alur Utama,Sub-Alur/Kasus Uji,Deskripsi,Hasil yang Diharapkan,Tangkapan Layar
Login,Login Valid,Pengguna login dengan kredensial yang valid,Pengguna diarahkan ke halaman utama,Placeholder
Login,Login Tidak Valid,Pengguna mencoba login dengan kredensial yang tidak valid,Pesan kesalahan ditampilkan,Placeholder
Login,Sesi Kedaluwarsa,Sesi pengguna berakhir setelah tidak aktif,Pengguna diarahkan ke halaman login,Placeholder
Tambah ke Keranjang,Menambahkan ke Keranjang Dasar,Pengguna menambahkan produk ke keranjang dari daftar produk,Produk ditambahkan ke keranjang dan sidebar muncul,Placeholder
Tambah ke Keranjang,Menambahkan ke Keranjang dari Halaman Detail Produk,Pengguna menambahkan produk ke keranjang dari halaman detail produk,Produk ditambahkan ke keranjang dan sidebar muncul,Placeholder
Tambah ke Keranjang,Validasi Sidebar Keranjang,Pengguna memverifikasi detail produk di sidebar keranjang,Detail produk yang benar ditampilkan,Placeholder
Checkout,Visibilitas Tombol Checkout,Pengguna memverifikasi visibilitas tombol "Checkout",Tombol Checkout terlihat,Placeholder
Checkout,Fungsi Tombol Checkout,Pengguna mengklik tombol "Checkout",Pengguna diarahkan ke halaman checkout,Placeholder
Checkout,Pemilihan Metode Pengiriman,Pengguna memilih metode pengiriman,Metode pengiriman yang dipilih disorot,Placeholder
Checkout,Pemilihan Metode Pembayaran,Pengguna memilih metode pembayaran,Metode pembayaran yang dipilih disorot,Placeholder
Checkout,Checkout Final,Pengguna mengklik tombol "Checkout Final",Modal pembayaran muncul,Placeholder
Checkout,Validasi Modal Pembayaran,Pengguna memverifikasi detail pembayaran di modal,Detail pembayaran yang benar ditampilkan,Placeholder
Pencarian dan Filter Produk,Pencarian Berdasarkan Nama,Pengguna mencari produk berdasarkan nama,Produk yang relevan ditampilkan,Placeholder
Pencarian dan Filter Produk,Menerapkan Filter,Pengguna menerapkan filter untuk mempersempit produk,Produk yang difilter ditampilkan,Placeholder
Halaman Detail Produk,Melihat Detail Produk,Pengguna melihat detail produk,Detail produk ditampilkan,Placeholder
Halaman Detail Produk,Memilih Varian Produk,Pengguna memilih varian produk (misalnya, ukuran, warna),Varian yang dipilih disorot,Placeholder
Riwayat Pesanan,Melihat Pesanan Sebelumnya,Pengguna melihat pesanan sebelumnya,Riwayat pesanan ditampilkan,Placeholder
Riwayat Pesanan,Memesan Ulang,Pengguna memesan ulang produk dari pesanan sebelumnya,Produk ditambahkan ke keranjang,Placeholder
Manajemen Profil Pengguna,Memperbarui Profil,Pengguna memperbarui informasi profil mereka,Profil diperbarui dengan sukses,Placeholder
Manajemen Profil Pengguna,Mengubah Kata Sandi,Pengguna mengubah kata sandi mereka,Kata sandi diperbarui dengan sukses,Placeholder
Wishlist,Menambahkan ke Wishlist,Pengguna menambahkan produk ke wishlist,Produk ditambahkan ke wishlist,Placeholder
Wishlist,Memindahkan ke Keranjang,Pengguna memindahkan produk dari wishlist ke keranjang,Produk dipindahkan ke keranjang,Placeholder
Notifikasi,Melihat Notifikasi,Pengguna melihat notifikasi,Notifikasi ditampilkan,Placeholder
